title,year,country,director,genre,imdb_id
Полицейская академия,1984,США,Хью Уилсон,комедия,tt0087928
Попса (фильм),2005,Россия,Елена Николаева,"мелодрама, музыкальный фильм",tt0460532
Попрыгунья (фильм),1955,СССР,Самсон Самсонов,мелодрама,tt0048504
Попкорн под кисло-сладким соусом,1999,США,Ниша Ганатра,"драма, комедия",tt0126240
"Последний (фильм, 2011)",2011,Азербайджан,Теймур Даими,апокалиптическая притча,tt3509082
Последние часы,2013,США,Зак Хилдитч,"фантастика, триллер, фильм-катастрофа, драма",tt2268458
Последняя поездка (фильм),2011,США,Гарри Томасон,драма,tt1605803
Последняя подводная лодка,1993,Германия,Франк Байер,военный,tt0100012
"Поцелуй смерти (фильм, 1977)",Нет данных,Великобритания,Майк Ли,"комедия, драма",tt0076273
"Поцелуй смерти (фильм, 1947)",1947,США,Генри Хэтэуэй,"Фильм нуар, Драма, Триллер",tt0039536
"Предостережение (фильм, 1980)",1980,США,Грейдон Кларк,фантастика,tt0081764
"Приглашение (фильм, 2022)",2022,США,Джессика М. Томпсон,фильм ужасов,tt12873562
"Приглашение (фильм, 2015)",2015,США,Кэрин Кусама,"фильм-триллер, фильм-тайна",tt2400463
Приключения Толи Клюквина (фильм),1964,СССР,Виктор Эйсымонт,комедия,tt0058491
Приключения с пиджаком Тарапуньки,1955,СССР,Виктор Иванов,комедия,N/A
Пробуждение Джима Бёрка,1935,США,Ламбе́рт Хи́лльер,драма,tt0026089
"Пробуждение (фильм, 2008)",2008,Дания,Кристиан Тафдруп,драма,tt1233198
"Пропавшая (фильм, 2020)",2020,США,Джон Хайамс,триллер,tt7711170
"Прощайте, фараоны!",1974,СССР,"Вячеслав Винник, Давид Черкасский","сатирическая, комедия",tt0396825
"Прощайте, доктор Фрейд!",2004,Россия,Марина Мигунова,комедия,tt0436685
Путешествие миссис Шелтон,1975,СССР,Радомир Василевский,"мелодрама, комедия, приключения",N/A
Путешествие металлиста,2005,Канада,"Сэм Данн, Скот МакФадьен",Документальный,tt0478209
Раб снов,1995,США,Роберт М. Янг,драма,tt0114470
Р.Э.К.В.И.Э.М.,1963,США,Герд Освальд,фантастика,tt0667821
Ракета (фильм),2013,"Австралия, Лаос, Таиланд",Ким Мордонт,драма,tt2178256
Райское яблочко,1998,Россия,Роман Ершов,комедия,tt5159826
